UPC,Count,Type,VaryingFields
8851019310268,3,VARIATION,"{'ITEM': ['POCKY FAMILY PACK STRAWBERRY 168G(21GM X 8)', 'GLICO POCKY BISC FAMILY PA SBERY 176GM (22GM X 8)', 'POCKY FAMILY PACK STRAWBERRY 5SX168G(21GM X 8)'], 'MPACK': ['X8', 'X40'], 'NRMSIZE': ['22GM', '21GM']}"
8000500224281,4,VARIATION,"{'ITEM': ['FERRERO NUTELLA B-READY 6SX22 GM', 'NUTELLA B-READY T1 22GM', 'NUTELLA BREADY 22.65G', 'FERRERO FR-NUTELLA B-READY T1 22G'], 'MPACK': ['X1', 'X6'], 'NRMSIZE': ['22GM', '22.65GM']}"
8000500227848,3,VARIATION,"{'ITEM': ['NUTELLA FERRERO B-READY 6SX132G', 'NUTELLA B-READY 132G', 'NUTELLA B-READY 12X22GM'], 'MPACK': ['X1', 'X6', 'X12'], 'NRMSIZE': ['22GM', '132GM'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
8996001302637,2,VARIATION,"{'ITEM': ['AYORA ROMA RICH CHOCOLATE 105GM', 'ROMA MALKIST CHOCOLATE 120 GM'], 'NRMSIZE': ['120GM', '105GM']}"
8993175547284,5,VARIATION,"{'ITEM': ['NABATI PINK LAVA FLAVOURED WAFER EXTRA 30% (37G + 11.1G) 48.1GM', 'NABATI PINK LAVA EXTRA 30% RM 1 58.5G', 'NABATI PINK LAVA WAFER 45G 1S', 'NABATI PINK LAVA 46G EXTRA 30%(13.8G) 59.8GM', 'NABATI PINK LAVA 40G EXTRA 30%'], 'NRMSIZE': ['37GM', 'NONE', '45GM', '46GM'], 'VARIANT': ['NONE', 'PINK LAVA']}"
4901360312375,2,VARIATION,"{'ITEM': ['BOURBON PETIT CHOCO CHIP 58GM', 'BOURBON CHOCO CHIP 60GM'], 'NRMSIZE': ['NONE', '58GM'], 'VARIANT': ['NONE', 'CHOCOLATE CHIP']}"
726165121045,4,VARIATION,"{'ITEM': ['APOLLO STICK WAFER STRAWBERRY 12X11GM', 'APPOLO STICK STRAWBERRY 12X35GM', 'APOLLO BISKUT STRAWBERRY 11G', 'APOLLO STICK STRAWBERRY WAFER 12S X 15GM 180GM'], 'MPACK': ['X1', 'X12'], 'NRMSIZE': ['15GM', '35GM', '11GM']}"
726165151042,2,VARIATION,"{'ITEM': ['APOLLO PANDAN STICK WAFERS 15GM X 12S', 'APOLLO PANDAN WAFER STICK 15GM'], 'MPACK': ['X1', 'X12']}"
726165911028,3,VARIATION,"{'ITEM': ['APOLLO CHOCO CREAM WAFFLE 6 X 18GM', 'APOLLO CHOC CREAMED WAFFLE 18G', 'APOLLO WAFFLES CHOCO CREAM WAFFLES 18GM'], 'MPACK': ['X1', 'X6']}"
750515018013,2,VARIATION,"{'ITEM': ['SKYFLAKES CRACKER TUB 800G', 'SKY FLAKES CRACKER 250GM(25GX10)'], 'MPACK': ['X10', 'X32']}"
750515018105,2,VARIATION,"{'ITEM': ['SKY FLAKES CRL CRACKERS 800GM(25GX32)', 'SKY FLAKES CRACKERS 850G(25GX34)'], 'MPACK': ['X34', 'X32']}"
750515018143,2,VARIATION,"{'ITEM': ['SKY FLAKES GARLIC CRACKERS-TUB 800GM(25GX32)', 'SKY FLAKES GARLIC CRACKERS 850GM'], 'MPACK': ['X34', 'X32']}"
750515030206,3,VARIATION,"{'ITEM': ['M.Y.SAN SKY FLAKES SINGLE GARLIC FLAV CRACKERS 8X25 GM', 'SKYFLAKES GARLIC 10X25G', 'SKYFLAKES CRL CRACKER GARLIC 200GM (25G X 8)'], 'BRAND': ['SKY FLAKES', 'MYSAN SKY'], 'MPACK': ['X10', 'X8'], 'VARIANT': ['ONION', 'GARLIC']}"
750515030251,2,VARIATION,"{'ITEM': ['SKY FLAKES SINGLES ONION & CHIVES 8X25G', 'SKY F/ CRACKERS S/PK ONI&CHIVES GREEN 10SX25G'], 'MPACK': ['X10', 'X8']}"
750515531512,2,VARIATION,"{'ITEM': ['MYSAN SKYFLAKES CONDENSARA CRACKERS 30G', 'SKYFLAKES CRACKER (SWEET MILK) 150G'], 'NRMSIZE': ['30GM', '150GM'], 'VARIANT': ['MILK', 'CONDENSARA']}"
750515531536,3,VARIATION,"{'ITEM': ['SKYFLAKES CRACKER SWICH (CHOC) 150G', 'SKYFLAKES CHOCOLATE CRACKERS 5SX30GM', 'MYSAN SKYFLAKES CHOCOLATE CRACKERS 30G'], 'MPACK': ['X1', 'X5'], 'NRMSIZE': ['30GM', '150GM']}"
831730006655,2,VARIATION,"{'ITEM': ['PRAN ORIGINAL ENERGY BISCUIT 85GM', 'PRAN ENERGY BISCUIT 95 GM'], 'NRMSIZE': ['85GM', '95GM'], 'VARIANT': ['NONE', 'ORIGINAL']}"
831730007256,2,VARIATION,"{'ITEM': ['PRAN SWEET TOAST 350G (BAG)', 'PRAN SWEET TOAST BISCUIT 300G'], 'NRMSIZE': ['350GM', '300GM']}"
8995077605628,2,VARIATION,"{'ITEM': ['DEKA MINI WAFER BITES CHOCO 80G', 'DEKA MINI WAFER BITES CHOCOCHOCO 72G'], 'NRMSIZE': ['80GM', '72GM']}"
838452006482,2,VARIATION,"{'ITEM': ['DUA KELINCI DEKA MINI WAFER BITES DURIAN 200GM', 'DEKA MINI WAFER BITES DURIAN 200GM'], 'BRAND': ['DEKA', 'DUA']}"
8995077605659,2,VARIATION,"{'ITEM': ['DEKA MINI WAFER BITES DURIAN 80G', 'DEKA MINI WAFER BITES DURIAN 72G'], 'NRMSIZE': ['80GM', '72GM']}"
838452006499,3,VARIATION,"{'ITEM': ['DUA KELINCI DEKA MINI WAFER BITES MATCHA 200G', 'DUA KELINCI DEKA MINI WAFER BITES MATCHA 180G', 'DEKA MINI WAFER BITES MOTCHA 200GM'], 'BRAND': ['DEKA', 'DUA'], 'NRMSIZE': ['200GM', '180GM'], 'VARIANT': ['NONE', 'MATCHA']}"
840205708659,2,VARIATION,"{'ITEM': ['PRAN ALL TIME ROMA CHOCO VANILLA 70G', 'PRAN ALL TIME ROMA CHOC COOKIES 90GM'], 'NRMSIZE': ['90GM', '70GM'], 'VARIANT': ['CHOCOLATE', 'CHOCOLATE & VANILLA']}"
841165101030,4,VARIATION,"{'ITEM': ['BISK CLUB PINEAPPLE CREAM BISCUIT 100GM', 'PRAN BISK CLUB PNPPLE 90G', 'BISK CLUB PINEAPPLE FLVRD CREAM BISCUIT 90GM', 'BISK CLUB PINEAPLLE BISCUITS 900GM'], 'BRAND': ['BISK', 'PRAN'], 'NRMSIZE': ['100GM', '90GM', '900GM']}"
841165119554,2,VARIATION,"{'ITEM': ['PRAN CASHEW NUT BISCUIT 70G', 'BISK CLUB CHSWNUT BISC 80GM'], 'BRAND': ['PRAN', 'BISK'], 'NRMSIZE': ['80GM', '70GM']}"
841165129553,2,VARIATION,"{'ITEM': ['PRAN BUTTER DELIGHT 80G', 'PRAN BUTTER DELIGHT BISCUIT 70G'], 'NRMSIZE': ['80GM', '70GM']}"
841165130344,2,VARIATION,"{'ITEM': ['PRAN PEANUT BISCUIT 70G', 'PRAN PEANUT BISC 80G'], 'NRMSIZE': ['80GM', '70GM']}"
841165149025,2,VARIATION,"{'ITEM': ['PRANK DAILY LTD PRAN MILK CRUNCHY WAFER 150GM', 'PRAN CRUNCHY MILK FLV. WFER BCT 150 GM']}"
841165149032,2,VARIATION,"{'ITEM': ['PRAN CRUNCHY STRWBRY FLV. WFER BCT150 GM', 'PRANK DAILY LTD PRAN STRAWBERRY CRUNCHY WAFER 150GM']}"
3023470001015,2,VARIATION,"{'ITEM': ['ST.MICHAEL COOKIES - GALETTE 130 GM', 'ST MICHEL GALATTES 12SX130GM'], 'MPACK': ['X1', 'X12']}"
3178530409840,2,VARIATION,"{'ITEM': ['BONNE MAMAN CHOCOLATE SABLE 175G', 'BONNE MAMAN CHOCOLATE SABLE 150 GM'], 'NRMSIZE': ['175GM', '150GM']}"
3178530409857,2,VARIATION,"{'ITEM': ['BONNE MAMAN COCONUTS SABLE 150GM', 'BONNE MAMAN COCONUT SABLE 175G'], 'NRMSIZE': ['175GM', '150GM']}"
3431410001023,2,VARIATION,"{'ITEM': ['LES GAVOTTES PLAIN CHOCOLATE 125 GM', 'LES GAVOTTES PLAIN CREPES DENTELLE 125GM'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
3800205874508,2,VARIATION,"{'ITEM': ['MY MOTTO COCOA COCOA 34 GM', 'MY MOTTO COCOA&COCOA 100G'], 'NRMSIZE': ['100GM', '34GM']}"
3800205876755,2,VARIATION,"{'ITEM': ['MY MOTTO COCOA TIRAMISU 34 GM', 'MY MOTTO TIRAMISU 100G'], 'NRMSIZE': ['100GM', '34GM']}"
