Markets,Product Segment,MANUFACTURER,MPACK,NRMSIZE,BRAND,ITEM,UPC,VARIANT,Facts,Dec 23 - w/e 31/12/23,Jan 24 - w/e 31/01/24,Feb 24 - w/e 29/02/24,Mar 24 - w/e 31/03/24,Apr 24 - w/e 30/04/24,May 24 - w/e 31/05/24,Jun 24 - w/e 30/06/24,Jul 24 - w/e 31/07/24,Aug 24 - w/e 31/08/24,Sep 24 - w/e 30/09/24,Oct 24 - w/e 31/10/24,Nov 24 - w/e 30/11/24,MAT Nov'24
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Sales Value,765.855,"2,613.09","1,393.81",657.90,562.87,58.651,18.7,,,,,,"6,070.88"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Sales (KG/LIT/000'U),7.394,28.972,17.849,6.531,9.055,1.254,0.179,,,,,,71.23
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Sales Units,64.858,254.145,156.57,57.286,79.428,11,1.571,,,,,,624.86
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Price per Sales (KG/LIT/000'U),103.578,90.193,78.09,100.74,62.16,46.77,104.47,,,,,,85.22
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Numeric Distribution Selling (C),0.015,0.029,0.03,0.02,0.02,0.00,0.00,,,,,,0.03
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Weighted Distribution - Reach - Product Segment,1.004,1.609,1.37,0.84,0.74,0.16,0.08,,,,,,1.81
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY WHITE CHOCOLATE COVERED FINGERS 114G,7622201450335,WHITE CHOCOLATE,Sales Value,,,,,,,,"3,342.75","5,529.99","3,533.67","2,004.25","2,238.74","16,649.39"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY WHITE CHOCOLATE COVERED FINGERS 114G,7622201450335,WHITE CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,,24.59,40.67,26.34,19.14,19.21,129.95
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY WHITE CHOCOLATE COVERED FINGERS 114G,7622201450335,WHITE CHOCOLATE,Sales Units,,,,,,,,215.66,356.77,231.06,167.92,168.48,"1,139.89"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY WHITE CHOCOLATE COVERED FINGERS 114G,7622201450335,WHITE CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,,135.97,135.97,134.16,104.70,116.56,128.12
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY WHITE CHOCOLATE COVERED FINGERS 114G,7622201450335,WHITE CHOCOLATE,Numeric Distribution Selling (C),,,,,,,,0.05,0.08,0.08,0.06,0.05,0.08
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY WHITE CHOCOLATE COVERED FINGERS 114G,7622201450335,WHITE CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,,4.01,5.22,5.20,3.40,2.85,5.68
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,135GM,CADBURY,CADBURY COOKIES CHOC CHIP 135G,7622210809049,CHOCOLATE CHIP,Sales Value,"4,646.54","3,406.29","3,602","2,105","2,183","10,550.20","13,837","18,075.05","6,102.76","1,845.29","1,104.58","7,079.73","74,537.20"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,135GM,CADBURY,CADBURY COOKIES CHOC CHIP 135G,7622210809049,CHOCOLATE CHIP,Sales (KG/LIT/000'U),57.55,43.26,51,28.35,26.31,114.59,148.38,201.79,73.23,23.67,19.03,76.59,863.45
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,135GM,CADBURY,CADBURY COOKIES CHOC CHIP 135G,7622210809049,CHOCOLATE CHIP,Sales Units,426.29,320.43,375.57,210.00,194.86,848.85,"1,099.14","1,494.72",542.42,175.29,141.00,567.35,"6,395.92"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,135GM,CADBURY,CADBURY COOKIES CHOC CHIP 135G,7622210809049,CHOCOLATE CHIP,Price per Sales (KG/LIT/000'U),80.741,78.744,71.04,74.26,82.99,92.07,93.25,89.58,83.34,77.98,58.03,92.43,86.33
